,match_id,first_team_score,second_team_score,first_team_win_probability,first_team_id,second_team_id,first_team_rating,second_team_rating
10387,6362040703,33,56,0.6520630896017101,8169775,8605296,1161.0,1103.0
10388,6361945572,29,3,0.368463159538704,8571960,8597976,1188.0,1230.0
10389,6361879958,17,21,0.653602811052307,8597976,8571960,1233.0,1185.0
10390,6361260955,17,32,0.4627174447683641,8605863,8598633,1196.0,1211.0
10391,6361166273,21,43,0.4810914125129029,8605863,8598633,1199.0,1208.0
10392,6360965037,42,24,0.5937337844026842,36,8112124,1209.0,1182.0
10393,6360871966,12,34,0.4116435036315025,111474,7554697,1201.0,1227.0
10394,6360862337,11,33,0.4210809273755214,8112124,36,1184.0,1206.0
10395,6360750880,35,29,0.5509400111577599,8533458,8606358,1155.0,1138.0
10396,6360742572,18,39,0.4261052430660055,111474,7554697,1203.0,1225.0
10397,6360653090,26,45,0.46606330143453956,8606358,8533458,1140.0,1152.0
10398,6360597795,32,21,0.6948112318517166,8244493,8254145,1206.0,1144.0
10399,6360499298,16,33,0.31605903194595975,8254145,8244493,1145.0,1204.0
10400,6360410272,40,15,0.7330755306837984,8571960,7917893,1183.0,1079.0
10401,6360403640,27,18,0.302499054814686,8360138,8214850,1184.0,1251.0
10402,6360401474,27,22,0.6336725932914673,8169775,8642714,1158.0,1116.0
10403,6360356286,24,6,0.34274321924751083,8642714,8169775,1112.0,1162.0
10404,6360350971,39,9,0.723117020299749,8571960,7917893,1182.0,1081.0
10405,6360326298,29,17,0.2792203607277487,8360138,8214850,1179.0,1255.0
10406,6360301429,40,19,0.6445319580147126,8169775,8642714,1160.0,1114.0
10407,6360261162,26,4,0.7115501308732775,8214850,8360138,1253.0,1181.0
10408,6360236144,22,48,0.4517347838386827,7653080,8261554,1134.0,1151.0
10409,6360194683,10,26,0.5686020490295691,8261554,7653080,1154.0,1130.0
10410,6360134190,19,45,0.4473695059285481,7653080,8261554,1133.0,1152.0
10411,6359601410,36,16,0.5672410981463716,8599101,8588969,1209.0,1188.0
10412,6359514434,15,32,0.58842401580725,8599101,8588969,1212.0,1185.0
10413,6359435472,26,10,0.5731202058991872,8599101,8588969,1209.0,1187.0
10414,6359236953,37,41,0.4145297801724248,8598999,5014799,1129.0,1162.0
10415,6359131397,14,34,0.43098141253721134,8598999,5014799,1131.0,1159.0
10416,6358912024,36,42,0.44211761799248483,6209804,5,1235.0,1253.0
10417,6358900044,0,0,0.42271007357014767,6209804,5,1232.0,1256.0
10418,6358802844,16,9,0.4027563717073106,6209804,5,1229.0,1259.0
10419,6358711063,23,12,0.5833206344007162,5,6209804,1257.0,1231.0
10420,6358593165,31,15,0.9501961304281578,15,8118983,1316.0,1106.0
10421,6358546206,9,29,0.05046829793041541,8118983,15,1106.0,1316.0
10422,6358480733,7,27,0.41698112429929235,8124688,726228,1164.0,1195.0
10423,6358419678,29,22,0.5672625251599729,726228,8124688,1193.0,1167.0
10424,6358357207,25,27,0.5887727816462404,726228,8124688,1196.0,1163.0
10425,6357833066,37,39,0.5645083840685955,8533458,8571253,1154.0,1116.0
10426,6357753263,50,41,0.3996062432809736,8571253,8533458,1107.0,1157.0
10427,6357660698,43,34,0.5840447386338955,8533458,8571253,1154.0,1110.0
10428,6357135752,46,22,0.4853841613302934,8606358,8449479,1137.0,1139.0
10429,6357032955,36,38,0.4881477072650793,8449479,8606358,1125.0,1135.0
10430,6356943847,27,49,0.5684963610331093,8533458,8606358,1154.0,1131.0
10431,6356869701,33,34,0.6142771508632073,8571960,8254145,1185.0,1143.0
10432,6356868459,28,33,0.7792454136380662,15,6209166,1315.0,1225.0
10433,6356855174,57,41,0.38955454727995886,8606358,8533458,1118.0,1157.0
10434,6356795714,37,20,0.5998698038890752,8571960,8254145,1183.0,1145.0
10435,6356788698,19,22,0.22710911120177057,6209166,15,1226.0,1314.0
10436,6356694527,18,50,0.7948921474484634,15,6209166,1318.0,1222.0
10437,6356579087,15,46,0.5114224455461369,7653080,8261554,1142.0,1142.0
10438,6356528276,26,39,0.506901193062669,8261554,7653080,1145.0,1139.0
10439,6356505336,0,0,0.5259208273737428,8261554,7653080,1148.0,1136.0
10440,6355469199,28,53,0.4048368599160529,8449479,8533458,1123.0,1160.0
10441,6355351264,25,47,0.42062144260943624,8449479,8533458,1126.0,1158.0
10442,6352935007,23,41,0.45085869145078183,8118983,7653080,1114.0,1139.0
10443,6352858977,37,32,0.5309331570284845,7653080,8118983,1137.0,1117.0
10444,6351753533,19,33,0.6604947941954307,6209804,8360138,1234.0,1177.0
10445,6351664280,18,8,0.3166879306144361,8360138,6209804,1173.0,1238.0
10446,6351579799,16,39,0.7064160685955945,6209804,8360138,1241.0,1169.0
10447,6351494769,21,34,0.30341580445512606,8360138,6209804,1171.0,1240.0
10448,6351340703,23,30,0.5723456872170739,5,6209804,1260.0,1237.0
10449,6351279095,16,33,0.4426098190909675,6209804,5,1239.0,1257.0
10450,6351210581,13,26,0.5768361367441371,5,6209804,1260.0,1236.0
10451,6350388395,11,21,0.25006613014620527,8449479,8469455,1140.0,1203.0
10452,6350285201,21,37,0.7416377665350923,8469455,8449479,1201.0,1141.0
10453,6350203549,22,41,0.24486179671658592,8449479,8469455,1143.0,1221.0
10454,6349961378,31,36,0.7736929712377292,5,8360138,1264.0,1166.0
10455,6349832186,17,44,0.23311830697673497,8360138,5,1167.0,1263.0
10456,6349685977,34,28,0.2103172117346448,8360138,5,1162.0,1267.0
10457,6349582220,25,9,0.6067435566976022,6209804,726228,1234.0,1198.0
10458,6349508301,23,24,0.40725719403484406,726228,6209804,1200.0,1232.0
10459,6349331884,38,34,0.6364331296291225,8261554,8204512,1153.0,1104.0
10460,6349270690,19,34,0.3769779199400344,8204512,8261554,1106.0,1150.0
10461,6348443851,26,26,0.33457877918333556,8533458,8469455,1159.0,1198.0
10462,6348338999,35,22,0.6528351851266666,8469455,8533458,1196.0,1161.0
10463,6348233250,34,36,0.5543685773608743,8606358,8449479,1144.0,1135.0
10464,6348120433,40,55,0.5751324127874694,8606358,8449479,1147.0,1132.0
