Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Amount [USD],Label
0x94eb1d71ed2683bddabe4c6897394622358242a23288ae3f318fa7e9992634c7,12/28/2021 21:36,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x02ea8c677a90fb11bf4f5bc7976d325f94d93bc2,1,ETH,,-1
0x11ad7e59eed3502b3a722464c015f2cdd88f5922102337ecd39fa2ae25ad7001,2/11/2022 22:07,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x169ec664702bf5bdf110cdaa6ae2e09d72763e69,35.3196,ETH,,-1
0x9c94e3fa0d870949916388bce0c355a2b32e716e27917e3b81140b88d3986113,2/11/2022 21:19,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x1872fdcb5c3a2a18ae1d1d1167bbe0ea87994cb5,10.5373,ETH,,-1
0x3efb5cda40fae97c75dd8d74b0d866e23dedd1a4bdf9dbd7a6807a0a3d814291,12/8/2021 14:06,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x1a8d45ebf75d2de8a3feb261e1c9e789fcd1b1d5,0.001,ETH,,-1
0xfebfca7213b4e555055abc5c11dbe8560c61a09cf41a9dbf7c4f0d057fe03cf3,12/8/2021 14:08,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x1a8d45ebf75d2de8a3feb261e1c9e789fcd1b1d5,5.7922,ETH,,-1
0x97b6c9cb6fb91a899cdd24a4719970f8e6f8fe7fa21bff2d49e7e900a3915bfc,12/8/2021 14:42,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x1a8d45ebf75d2de8a3feb261e1c9e789fcd1b1d5,5.7922,ETH,,-1
0xdf6cc324b17856da130e17d2efcfa38929e89915174f6ac840d3387a3895a32d,2/23/2022 20:35,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x1f5d43dfd8f94016d845a1469a7605333ec61bce,4.2021,ETH,,-1
0x1f28fdfccc2d5324c0ff2d3de0ad83dc54a17cee32a5e861d0ceac4fa17fd499,12/30/2021 23:04,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x377af68f5d1c452a715c284cf7e054390c70f30f,2.13,ETH,,-1
0xa3db7094ab7a8bb5218f2769a524ec78ceccee992e59bd05deda1054b066e26c,3/21/2022 23:37,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x43fc6d501b97ae3368da8f8f28855eb41ab8f9e3,4.5908,ETH,,-1
0xdcb0a57f9295ec563fff57e71479fb43f85bae8c5a39b10a957dbc7bd3b9cb5c,2/11/2022 20:44,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x4ce0bddde2c4cedd6f60ecdced023909b518db1c,39.3863,ETH,,-1
0x10da26e9c40e0c83342465ca954bd9c6b90fb912155eb11e85e1fb1110bca8f0,4/21/2022 16:32,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x4ce0bddde2c4cedd6f60ecdced023909b518db1c,18.9412,ETH,,-1
0x6de2636923f19b2cca8e988b57a9e224d515a3e38fb52409ccbaef7b14a94a50,11/9/2021 0:20,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x4e68e027d8f4760a83a9f92c5ead54f21e381a3b,5.1778,ETH,,-1
0x76089cb59666d44a039666e23007d4349791af662e10cb10ced31d0a6b064bba,11/3/2021 0:09,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x511d5d43dbbf359ae5eb1dc8265ff7e014df7a06,3.2567,ETH,,-1
0x92ee8aa40f431256552c0f9bee691b8434dd98d7ceb009b6f52ba2b680f31e8f,4/11/2022 19:04,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x511d5d43dbbf359ae5eb1dc8265ff7e014df7a06,3.2567,ETH,,-1
0x42566ea475ae9cbd5cfed49f7de86c7d1a769b8ff501b5803e0a1e1d972ff907,4/29/2022 13:50,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x511d5d43dbbf359ae5eb1dc8265ff7e014df7a06,3.2567,ETH,,-1
0x525b3dcab6b721d90f43ee117de62698f7fcd43beb33339a1cc1d8f5a3e0b4ee,11/30/2021 17:59,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x545cbf19d071e74c90bc1c141ac8d07e491ae85c,3.2567,ETH,,-1
0x4384d101240020be443e9d4c364aa9fb3c498c108280a6af1a22acc04f9a2b8b,1/11/2022 22:03,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x58772f6d90bfde7605ecc4767ab3b4c1a2009b05,7.7399,ETH,,-1
0xa1b8c496c64ecf62205bfef8a0cb3e7d2f60bc87d4a52e59c6cee6d704bf4a7a,1/17/2022 19:02,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x5f70bfa8e22499c1560ec271349cc5c362febfca,11.97,ETH,,-1
0x765aef7f9bfe3746a5fe998997532f774a390cde0786c52edf26085552bf4e49,2/11/2022 20:51,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x6576faa533dc446148e80dcfa5a4ffa874bdb1a6,20.8212,ETH,,-1
0x4e02c92b9e405a0deae78e94c841cfc06f9e8ff53b98bbb0e055137f650a8874,4/19/2022 16:10,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x6dd31562bf1d485e872e7fcd88165057ebcc357f,13.0133,ETH,,-1
0xbde560c3714aa0ce8873ab6073a238411cf40ddacd7bc7bd449e0e132efa24f5,1/14/2022 20:33,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x7c502374248134cb5346e126b33a021c337b8b18,3.3333,ETH,,-1
0x118948a07560fcc26978a0acce451bf9dd014847669c9082d5eed39cb4c20b8d,2/1/2022 13:59,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x7c502374248134cb5346e126b33a021c337b8b18,15.0196,ETH,,-1
0x1707fec0cda37c69f7c957e1322e0126f724592011a43f24ed904db84b2186aa,2/11/2022 22:56,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x7d956c3f522d3eddc326e10b9601d4535d404b81,1.1076,ETH,,-1
0x2aa1855856a725c69fcede685e744f9813a47d9d75ec57a9527e021e99b5963d,5/10/2022 20:55,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x81c73831506f83b0541000707e04a9e3aa413604,0.026263,ETH,,-1
0xff68aab3be7e70561e75bc32bc460fc481acd73fe69fe66d0661137ff5cc0349,11/9/2021 16:22,0x36983f0dcbfcaa2b978eb0f34e53505cc0fb4d97,0x830c8412e8639c81fe2d0545ee6cb82d461c67cd,24.1075,ETH,,-1
