feature,bin_name,from,to,ref_cnt,ref_frac,tgt_cnt,tgt_frac,ratio
gas_price_log_to_median_ratio,bin0,,-0.710904204314307,39106,0.07565779291131404,31,0.01855176540993417,0.24520627282480373
gas_price_log_to_median_ratio,bin1,-0.710904204314307,-0.2067224024294201,106639,0.2063128772635815,139,0.0831837223219629,0.4031921003926911
gas_price_log_to_median_ratio,bin2,-0.2067224024294201,0.24344961807793902,247469,0.4787745704999226,436,0.26092160383004187,0.5449779915370089
gas_price_log_to_median_ratio,bin3,0.24344961807793902,0.8466098077338075,95261,0.18430003095496053,461,0.27588270496708556,1.4969216420506521
gas_price_log_to_median_ratio,bin4,0.8466098077338075,,28405,0.05495472837022133,604,0.36146020347097546,6.5774177070965605
gas_price_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
gas_limit_log_to_median_ratio,bin0,,-0.9956708902065327,23300,0.04507816127534437,71,0.04248952722920407,0.9425745422416739
gas_limit_log_to_median_ratio,bin1,-0.9956708902065327,-0.2853326430864458,52898,0.10234096889026466,104,0.06223818073010173,0.6081453146768306
gas_limit_log_to_median_ratio,bin2,-0.2853326430864458,0.3979274617415714,345850,0.669110818758706,1120,0.6702573309395572,1.0017134862398103
gas_limit_log_to_median_ratio,bin3,0.3979274617415714,1.0883721066114547,60612,0.11726512923696022,243,0.14542190305206462,1.240112077633986
gas_limit_log_to_median_ratio,bin4,1.0883721066114547,,34220,0.06620492183872466,133,0.07959305804907241,1.202222672250279
gas_limit_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
gas_used_log_to_median_ratio,bin0,,-0.5137057864439037,59180,0.11449466026930816,174,0.10412926391382406,0.909468298948587
gas_used_log_to_median_ratio,bin1,-0.5137057864439037,-0.10992526224966787,62755,0.12141115926327194,280,0.1675643327348893,1.3801394678353849
gas_used_log_to_median_ratio,bin2,-0.10992526224966787,0.23116069293071306,263740,0.5102538306763659,788,0.471573907839617,0.9241947428685116
gas_used_log_to_median_ratio,bin3,0.23116069293071306,0.7401082811595361,63235,0.1223398080792447,338,0.20227408737283065,1.6533791457463225
gas_used_log_to_median_ratio,bin4,0.7401082811595361,,67970,0.1315005417118093,91,0.054458408138839016,0.4141306752803165
gas_used_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,bin0,,-0.3912335441177859,37916,0.0733555177217149,244,0.14602034709754638,1.9905843709193949
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,bin1,-0.3912335441177859,0.3786733831855694,384272,0.743445287107259,320,0.19150209455415917,0.2575873408240876
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,bin2,0.3786733831855694,1.2235977159446816,53314,0.10314579786410773,202,0.12088569718731298,1.1719885801511485
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,bin3,1.2235977159446816,2.179128180118229,19048,0.036851880513852346,78,0.0466786355475763,1.2666554568370032
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,bin4,2.179128180118229,,22330,0.04320151679306609,827,0.49491322561340517,11.455922438650106
snd_rcv_tkn_type_cnt_tx_min_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
