file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link
Cream_Finance011.csv,0,51,554,1,train,Flash Loan Attack,01/09/2020 17:13,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance012.csv,0,0,34,1,train,Flash Loan Attack,08/09/2021 22:42,Train,https://defiyield.app/rekt-database/cream_finance
Cryptopia001.csv,100,3313,21587,0,train,Access Control,20/10/2018 18:01,Train,https://defiyield.app/rekt-database/cryptopia
Cryptopia002.csv,5,194,10300,0,train,Access Control,15/11/2018 21:31,Train,https://defiyield.app/rekt-database/cryptopia
Curve_Finance001.csv,0,13,141,1,train,Phishing,10/10/2019 22:08,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance002.csv,0,1,26,1,train,Phishing,16/06/2022 8:39,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance003.csv,0,45,279,1,train,Phishing,01/09/2021 5:20,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance004.csv,0,2,87,1,train,Phishing,15/04/2022 19:29,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance005.csv,0,39,608,1,train,Phishing,24/10/2020 18:07,Train,https://defiyield.app/rekt-database/curve.finance
DAOMaker2003.csv,1,0,107,0,train,Access Control,28/04/2021 12:42,Train,https://www.coinfirm.com/blog/dao-maker-hack/
DAOMaker2004.csv,1,0,404,0,train,Access Control,01/07/2021 13:02,Train,https://www.coinfirm.com/blog/dao-maker-hack/
DEGO001.csv,2,6,40,0,train,Access Control,10/09/2020 18:30,Train,https://coinquora.com/multichain-defi-nft-platform-dego-finance-suffers-10m-hack/
DistX001.csv,1,5,163,1,train,Rug pull,28/08/2020 23:58,Train,https://cryptoslate.com/another-rug-pull-takes-place-taking-a-1-5m-market-cap-ethereum-coin-to-15000/
DragonEx001.csv,25,1874,23101,0,train,Rug pull,05/06/2018 9:02,Train,"https://medium.com/sentinel-protocol/dragonex-hack-tracking-stolen-etheruem-tokens-to-exchanges-using-catv-537b8f042af2#:~:text=Save-,DragonEx%20Hack%3A%20Tracking%20stolen%20Ethereum%20TOKENS%20to%20Exchanges%20using%20CATV,transferred%20out%20of%20their%20wallets."
Eterbase001.csv,54,6162,18677,0,train,Access Control,19/04/2020 0:29,Train,https://blog.merklescience.com/hacktrack/hack-track-eterbase-cryptocurrency-exchange
EthereumYiled001.csv,0,0,1026,3,train,Rug pull,22/11/2020 16:52,Train,https://defiyield.app/rekt-database/ethereum_yield
EthereumYiled002.csv,0,2,1486,2,train,Rug pull,08/12/2020 17:31,Train,https://defiyield.app/rekt-database/ethereum_yield
FakeAVA Token Sale001.csv,0,6,110,1,train,Phishing,31/05/2017 17:22,Train,
FakeHack137001.csv,0,0,41,1,train,Phishing,03/08/2016 10:46,Train,
FakeHeroTokenSale001.csv,0,0,66,1,train,Phishing,18/08/2017 2:26,Train,
FakeHeroTokenSale002.csv,0,232,4429,1,train,Phishing,15/08/2017 16:56,Train,
FakeHeroTokenSale003.csv,0,1,37,1,train,Phishing,16/06/2017 16:48,Train,
FakeHeroTokenSale004.csv,0,0,87,1,train,Phishing,27/07/2017 13:12,Train,
FakeHeroTokenSale005.csv,0,2,97,1,train,Phishing,29/05/2017 21:59,Train,
FakeHeroTokenSale006.csv,0,9,495,1,train,Phishing,01/06/2017 13:29,Train,
FakePhishing2753001.csv,0,22,2047,11,train,Phishing,02/01/2019 19:20,Train,
FakePhishing697001.csv,0,1,20,1,train,Phishing,31/12/2017 23:13,Train,
HarmonyBridge001.csv,9,637,7918,0,train,Access Control,14/10/2020 15:20,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/
HarmonyBridge002.csv,1,84,1214,0,train,Access Control,13/10/2020 21:36,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/
HarmonyBridge003.csv,1,447,7213,0,train,Access Control,19/01/2021 20:38,Train,https://techcrunch.com/2022/06/24/harmony-blockchain-crypto-hack/
Kucoin001.csv,177,458,24269,18,train,Access Control,17/09/2020 13:01,Train,https://blog.chainalysis.com/reports/kucoin-hack-2020-defi-uniswap/
