,true_negative,false_negative,false_positive,true_positive,train set,file_name,Attack_Type
111,762,0,0,8,train set,Uniswap001.csv,Phishing
112,24,0,0,5,train set,Nomad003.csv,Other
113,80,0,1,0,test set,FakeHeroTokenSale004.csv,Phishing
114,4113,0,1,0,test set,FakeHeroTokenSale002.csv,Phishing
115,215,0,3,0,test set,Zenith006.csv,Rug pull
116,21,0,1,0,test set,FakePhishing697001.csv,Phishing
117,858,0,0,3,test set,Stazie001.csv,Access control
118,157,0,1,0,test set,Zenith003.csv,Rug pull
119,6,0,0,1,test set,Taylor001.csv,Access control
120,19,0,2,0,test set,MerkleTreeVentures001.csv,Other
121,18918,1,0,97,test set,Cryptopia001.csv,Access control
122,125,0,20,0,test set,Coinbene002.csv,Access control
123,8295,0,0,10,test set,LCX001.csv,Access control
124,21310,0,0,147,test set,Kucoin002.csv,Access control
125,134,0,0,1,test set,Curve_Finance001.csv,Phishing
126,92,0,18,0,test set,Lendfme001.csv,Other
127,2885,0,51,0,test set,Liquid002.csv,Access control
128,248,0,1,0,test set,Liquid003.csv,Access control
129,2265,0,0,1,test set,Cream_Finance006.csv,Flashloan
130,21554,0,0,145,test set,Kucoin001.csv,Access control
131,1899,0,0,39,test set,HarvestFinance001.csv,Flashloan
132,231,0,1,0,test set,Zenith004.csv,Rug pull
133,57,0,0,1,test set,CompounderFinance001.csv,Rug pull
134,28,0,0,1,test set,Warp001.csv,Flashloan
135,522,0,4,0,test set,Holy001.csv,Rug pull
136,6,0,1,0,test set,MochaSetDollar001.csv,Rug pull
137,107,0,0,1,test set,DAOMaker2003.csv,Other
138,404,0,1,0,test set,DAOMaker2004.csv,Other
139,99,0,1,0,test set,Vesperi004.csv,Other
140,34,1,0,1,test set,Upbit009.csv,Access control
141,78,0,0,1,test set,Upbit004.csv,Access control
142,1252,0,1,0,test set,SushiSwap001.csv,Other
143,24120,0,2,0,test set,bZx001.csv,Access control
144,41,0,0,1,test set,Vesperi003.csv,Other
145,3031,0,3,0,test set,Omni Bridge001.csv,Other
146,915,58,0,5,test set,MonoXfinance002.csv,Other
147,24996,0,0,3,test set,Ronin001.csv,Access control
148,13,0,11,0,test set,ZBExchange001.csv,Other
149,19116,0,0,109,test set,Wintermute001.csv,Access control
,,,,,,,
unseen,,,,,,,
,127,0,23,0,unseen,QAN_Platform001.csv,
,81,2,1,0,unseen,Olympus_Hack.csv,
