file_name,exp_part,exploit_type,sngl_mlt,tp,fp,tn,fn,catch_any
V3/Lendfme001.csv,validation,Flash Loan Attack,multi,31,73,4805,36,1
V3/Liquid001.csv,train,Access Control,multi,54,125,24821,0,1
V3/Liquid002.csv,train,Access Control,multi,23,0,3016,30,1
V3/Liquid003.csv,train,Access Control,single,1,1,249,0,1
V3/Lympo001.csv,train,Access Control,single,0,0,56,1,0
V3/Lympo002.csv,train,Access Control,single,0,0,2,1,0
V3/Lympo003.csv,train,Access Control,multi,0,1,18,3,0
V3/MerkleTreeVentures001.csv,train,Access Control,multi,0,0,19,2,0
V3/MonoX001.csv,validation,Price Manupilation,multi,0,7,589,1,0
V3/Nexus_Mutual_Founder_Wallet001.csv,train,Phishing,single,1,19,221,0,1
V3/Nomad_Bridge001.csv,validation,Access Control,multi,14,429,15777,1,1
V3/Opyn001.csv,train,Access Control,multi,1,0,41,3,1
V3/POKeFARM001.csv,train,Rug pull,multi,0,1,780,104,0
V3/Pando001.csv,validation,Access Control,multi,5,9,82,6,1
V3/Peak_Defi001.csv,validation,Access Control,multi,0,3,121,5,0
V3/Poly_Network001.csv,train,Access Control,multi,10,604,24386,0,1
V3/RBaseFinance001.csv,validation,Rug pull,multi,0,0,43,2,0
V3/RBaseFinance002.csv,validation,Rug pull,multi,0,0,3,2,0
V3/Reflation001.csv,validation,Rug pull,multi,0,0,90,3,0
V3/RibbonFinance001.csv,train,Phishing,single,0,0,131,1,0
V3/Roll001.csv,train,Access Control,multi,3,481,19971,0,1
V3/Ronin001.csv,train,Access Control,multi,2,84,18611,0,1
V3/Saddle_Finance2001.csv,train,Access Control,multi,0,18,3785,2,0
V3/Santa DAO001.csv,train,Rug pull,multi,3,0,22,1,1
V3/SashimiSwap001.csv,validation,Flash Loan Attack,multi,2,83,15128,0,1
V3/Stazie001.csv,train,Access Control,multi,3,10,1673,0,1
V3/SushiSwap001.csv,validation,Access Control,single,0,0,1252,1,0
V3/SynLev001.csv,validation,Rug pull,multi,0,0,43,2,0
V3/SynLev002.csv,train,Rug pull,multi,0,0,41,3,0
V3/THORChain001.csv,train,Access Control,multi,1,110,18845,7,1
V3/Taylor001.csv,train,Access Control,single,0,0,6,1,0
V3/Tecra001.csv,train,Access Control,multi,1,185,2853,0,1
V3/Umbrella001.csv,train,Access Control,multi,35,51,654,0,1
V3/UniCat.csv,train,Rug pull,multi,8,7,2059,0,1
V3/Unicrypt001.csv,validation,Rug pull,single,1,0,10727,0,1
V3/Unidark001.csv,train,Rug pull,multi,126,0,5924,5,1
V3/Upbit001.csv,train,Access Control,single,1,18,24981,0,1
V3/Upbit004.csv,train,Access Control,single,1,0,78,0,1
V3/Upbit005.csv,train,Access Control,multi,1,0,74,3,1
V3/Upbit006.csv,train,Access Control,multi,1,0,44,4,1
V3/Upbit007.csv,train,Access Control,multi,3,0,251,0,1
V3/Upbit008.csv,train,Access Control,single,1,0,38,0,1
V3/Upbit009.csv,train,Access Control,single,1,1,34,0,1
V3/Vesperi001.csv,train,Price Manupilation,single,1,0,85,0,1
V3/Vesperi002.csv,train,Price Manupilation,single,1,1,216,0,1
V3/Vesperi003.csv,train,Price Manupilation,single,1,1,114,0,1
V3/Vesperi004.csv,train,Price Manupilation,single,1,3,164,0,1
V3/Vesperi005.csv,train,Price Manupilation,single,1,0,74,0,1
V3/VoltageFinance001.csv,train,Re-Entrancy,multi,0,0,222,6,0
V3/Wintermute001.csv,validation,Access Control,multi,107,106,14611,2,1
V3/Wormhole001.csv,train,Access Control,multi,3,71,20833,0,1
V3/XToken001.csv,validation,Flash Loan Attack,multi,1,6,4923,0,1
V3/Zenith001.csv,train,Rug pull,single,0,1,211,1,0
V3/Zenith002.csv,train,Rug pull,single,1,0,108,0,1
V3/Zenith003.csv,train,Rug pull,single,0,3,169,1,0
V3/Zenith004.csv,train,Rug pull,single,0,4,244,1,0
V3/Zenith005.csv,train,Rug pull,single,0,45,1644,1,0
V3/Zenith006.csv,train,Rug pull,multi,0,3,234,3,0
V3/bZx001.csv,validation,Access Control,multi,2,209,24715,0,1
V3/dxHub001.csv,train,Rug pull,multi,0,0,15,3,0
